,신문사url,기사타이틀,기사url,요약기사
14,http://www.edaily.co.kr/,[뉴스새벽배송]뉴욕 증시 반등…인플레 우려는 여전,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005059658,"다음은 개장 전 주목할 만한 <mark>뉴스</mark>다. ◇ 뉴욕 증시, 대체로 상승 마감 -13일(현지시간) 마켓포인트에 따르면 이날 미국 뉴욕증권거래소에서 블루칩을 모아놓은 다우존스 30 산업평균지수는 전거래일 대비 보합..."
15,http://www.sedaily.com/,용진이형이 선택한 그 생수···7만병 팔렸다 [한입뉴스],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003972403,정용진 신세계그룹 부회장이 홍보한 생수 '저스트워터'가 친환경 제품으로 각광 받으며 고가에도 판매량이 급증하고 있다. 신세계푸드(031440)는 수입 유통하고 있는 저스트워터의 올 3분기 판매량이 전 분기 대비 약 30...
16,https://www.yna.co.kr/,[연합뉴스 이 시각 헤드라인] - 08:00,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=001&aid=0012720573,■ '제2 대장동 막는다'…도시개발 사업에도 상한제 적용 추진 경기도 성남시 대장동 개발사업 특혜 의혹이 개발이익 환수 논란으로 번진 가운데 공공이 참여하는 도시개발사업에 대한 개발이익 환수 방안...
17,http://www.mbn.co.kr/,[뉴스추적] '김만배 소환' 의혹과 해명,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001613664,"사회부 김지영 기자와 대장동 의혹에 대해 좀 더 자세히 <mark>뉴스</mark>추적 해보겠습니다. 의혹의 중심에 있는... 네, 김 기자 잘 들었습니다. MBN<mark>뉴스</mark> 김지영 #MBN #대장동 #대장동의혹 #유동규 #김만배 #정영학 #정민용 #이재명 #"
18,https://www.yna.co.kr/,[전국 주요 신문 톱뉴스](14일 조간),https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=001&aid=0012720569,"더 좁아진 취업문 청년 구직난 심화…실업률 급등 ▲ 제주일보 = 제2공항, 입지 떠나 꼭 필요 ▲ 한라일보 = ""제2공항 추진""…부지 변경도 시사 ▲ 브릿지경제 = 규제에 막혀…獨 공유 킥보드 업체 떠난다 (서울=연합<mark>뉴스</mark>)"
19,http://www.mbn.co.kr/,[뉴스추적] 키맨 4명의 서로 다른 주장의 차이는?,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001613911,사회부 김지영 기자와 대장동 의혹에 대해 좀 더 자세히 <mark>뉴스</mark>추적 해보겠습니다. 해외 도피 의혹이 불거졌던... 김 기자 잘 들었습니다. MBN<mark>뉴스</mark> 김지영 #MBN #대장동 #대장동의혹 #유동규 #김만배 #정영학 #정민용 #남욱 #
20,http://www.joseilbo.com/,"[대선주자 여론조사] [오마이뉴스] 4자대결 ‘이재명-尹 접전, ‘李32.4%-洪27.2%’",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=123&aid=0002256894,"'이재명-윤석열-심상정-안철수' 4자 가상대결에서 이재명·윤석열 접전, '이재명-홍준표-심상정-안철수' 대결에서는 이재명 더불어민주당 대선후보가 앞선다는 여론조사 결과가 14일 나왔다. 의뢰로..."
21,http://www.newsis.com/,"송영길 ""당원들이 가짜뉴스로 당대표 비난…일베와 다를 바 없어""",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010767952,"가짜<mark>뉴스</mark>를 퍼뜨리는 것을 보고 스스로 반성해야 한다고 생각한다""고 말했다. 송 대표는 이날 오후 YTN '<mark>뉴스</mark> Q'에 출연한 자리에서 '이 전 대표 지지층의 반발이 있는데 당대표에게도 문자폭탄이 가지 않았냐'는 진행자의..."
22,http://www.mk.co.kr/,"“뉴스에서 봤다”…’골목식당’, 국가대표 단골손님에 깜짝",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=009&aid=0004864062,"심지어 점심 장사 때는 단골손님으로 보이는 국가대표가 방문했고 3MC는 “<mark>뉴스</mark>에서 봤다”, “여기서 이분을 뵐 줄은 몰랐다”라며 거물급 유명인 등장에 놀라움을 감추지 못했다. 첫날부터 심상치 않은 분위기의..."
23,http://www.busan.com/,[해양수산 뉴스] 세계자연유산 ‘한국의 갯벌’ 통합관리 잰걸음 外,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=082&aid=0001123176,"‘한국의 갯벌’ 전경. 해수부 제공 주요 보호 철새 종. 해수부 제공 ◆세계자연유산 ‘한국의 갯벌’ 통합관리 잰걸음…해수부, 통합관리 계획안 마련 해양수산부는 유네스코 세계자연유산으로 등재된 갯벌을..."
24,http://www.kyeonggi.com/,공공비축미 수매 한창 [포토뉴스],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005059591,추곡수매가 한창인 13일 오후 화성시 비봉면 수라청연합농협미곡처리장(RPC)에서 추수한 벼를 싣고 온 차량들이 줄을 길게 선 채 차례를 기다리고 있다. 김시범기자 추곡수매가 한창인 13일 오후 화성시 비봉면...
25,http://www.edaily.co.kr/,[뉴스+]신세계·GS·롯데…자본시장 큰손들 자금 베팅 ‘3색 대전’,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=110&oid=088&aid=0000725757,올해 인수합병(M&amp;A) 시장이 열기를 뿜어낸 데는 대기업들의 공격적인 참여를 빼놓을 수 없다. 현 시점 M&amp;A에 가장 적극적인 곳을 꼽으라면 신세계와 롯데 GS그룹이 대표적이다. 시장에 나온 B2C(기업과 소비자간 거래)...
26,http://www.imaeil.com/,[뉴스Insight] 울릉크루즈시대(2)= 독도 크루즈는 안 될까,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=082&aid=0001123115,울릉도 주민들이 뱃멀미 고통 없이 포항을 다녀왔다고 좋아한다. 울릉도에 사는 사람이 무슨 뱃멀미 타령이냐고 한다면 한참 모르는 소리다. 너울성 파도를 만나면 배에서 일하는 사람도 멀미에 시달린다고 한다....
27,http://www.busan.com/,"[에너지 뉴스] 전기안전공사, ‘2021 대한민국 SNS 대상’ 공사부문 '대상' 外",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001123138,"한국전기안전공사 블로그 메인 페이지. 전기안전공사 제공 ◆전기안전공사, ‘2021 대한민국 SNS 대상’ 공사부문 '대상' 한국전기안전공사(사장 박지현)는 13일 온라인으로 진행된 ‘제11회 대한민국 SNS 대상 시상식’..."
28,http://www.busan.com/,"[포토뉴스] BTS 지민 팬클럽, 부산타워에 생일 기념 레이저쇼",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=001&aid=0012720282,방탄소년단(BTS) 멤버 지민의 중국 팬베이스 ‘지민바 차이나’가 지민의 27세 생일을 맞아 13일 오후 부산의 랜드마크인 부산 타워에 생일을 축하하는 문구를 비추는 레이저쇼를 펼치고 있다. 이번 프로젝트가 진행된...
29,https://www.yna.co.kr/,[연합뉴스 이 시각 헤드라인] - 20:00,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=018&aid=0005059561,"■ 불복의 문턱에서 멈춘 이낙연…사흘 만에 빛본 승복 메시지 더불어민주당 이낙연 전 대표가 13일 침묵을 깨고 대선 경선 승복 선언을 했다. 지난 10일 ""제 정리된 마음은 정리되는 대로 말씀드리겠다""면서 서울..."
30,http://www.edaily.co.kr/,[카드뉴스] 2021년 10월 14일 ‘오늘의 운세’,,"2021년 10월 13일 오늘의 운세입니다. △물병자리 : 지나친 기대는 금물… 다양한 방향에서 좋은 일이 생기는 날입니다. 조금은 색다른 것들에 관심을 가지는 것도 좋고, 계획이나 진로를 수정해보는 것도 나쁘지 않은..."
31,http://news.kbs.co.kr/,[뉴스광장 영상] 공세리성당,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011137078,■ 제보하기
32,http://ch1.tbroad.com/,[B tv 인천뉴스] 국립인천해양박물관 11월 착공식,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=001&aid=0012722062,"국립인천해양박물관 건립 공사가 2024년 6월 개관을 목표로 본격 추진됩니다. 인천시는 ""국립인천해양박물관 건립을 위한 발주절차가 마무리 됨에 따라 시공사 선정과 착공 절차를 완료했다""고 밝혔습니다...."
33,https://www.yna.co.kr/,[전국 주요 신문 톱뉴스](14일 석간),https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012716350,"더 벌어진 빈부격차 ▲ 문화일보(서울) = 자산시장 거품이 빠진다 ▲ 아시아경제(서울) = 美물류대란에…바이든, 삼성에 SOS ▲ 헤럴드경제(서울) = 팬데믹 이후 과도기…인류·디자인의 내일을 준비하다 (서울=연합<mark>뉴스</mark>)"
34,https://www.yna.co.kr/,"광주시, 허위사실·가짜뉴스 피해 구제 범위 확대",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001613801,광주시는 허위사실·가짜<mark>뉴스</mark>로 피해를 당한 시민들의 구제 범위를 확대한다고 12일 밝혔다. 시는 피해 구제를 위해 지난해 3월 출범한 '의향광주법률지원단' 구제 범위를 확대하기로 하고 관련 조례를 개정했다. 개정...
35,http://www.mbn.co.kr/,"김부겸 ""조심스럽게 일상회복 준비하는 단계"" [김주하 AI 뉴스]",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=088&aid=0000725832,"김주하 AI <mark>뉴스</mark>입니다. 김부겸 국무총리가 완화된 방역체계 도입을 시사했습니다. 김 총리는 코로나19 일상회복지원위원회 첫 회의를 주재하면서 ""고난의 시간을 보낸 끝에 이제 조심스럽게 일상회복을 준비하는 단계까지..."
36,http://www.newsculture.tv/,"[포토뉴스]라잇썸, 비주얼이 '비바체'!",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001651796,그룹 라잇썸이 눈부신 비주얼을 발산하며 쇼케이스에 임했다. 13일 오후 4시 그룹 라잇썸의 두 번째 싱글 앨범 'Light a Wish'(라잇 어 위시) 쇼케이스가 온라인으로 진행됐다. 현장에는 가수 조권의 사회로 라잇썸...
37,http://www.imaeil.com/,"[포토뉴스] ""가을엔 한복과 어울려 볼까""... '2021 가을 한복문화주간'",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001651602,"'2021 가을 한복문화주간'을 맞아 14일 대구 중구 이상화 고택에서 한복을 입은 시민들이 기념사진을 찍고 있다. 문화체육관광부가 전국 11개 지자체와 17일까지 진행하는 '한복문화주간'은 체험, 전시, 패션쇼 등..."
38,http://www.ytn.co.kr/,"[더뉴스-더인터뷰] 민주당 당무위, '이의 제기' 결과 발표...국정감사 벼르는 野",,■ 진행 : 김정아 앵커 ■ 출연 : 장경태 더불어민주당 의원 / 김은혜 국민의힘 의원 * 아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으니 보다 정확한 내용은 방송로 확인하시기 바랍니다. 오늘의 정국 주요 현안...
39,http://www.ebs.co.kr/,"<뉴스G> 세계 아동 40% ""모국어로 읽고 싶어요""",,"이&nbsp;아이들이&nbsp;겪고&nbsp;있는&nbsp;언어장벽과&nbsp;그&nbsp;벽을&nbsp;넘으려는&nbsp;시도들,&nbsp;<mark>뉴스</mark>G에서&nbsp;전해드립니다. [리포트] 남아프리카&nbsp;공화국의&nbsp;비정부단체&nbsp;'푸쿠&nbsp;아동&nbsp;문학재단'은&nbsp;남아프리카&nbsp;토착&nbsp;언어로&nbsp;쓰여진&nbsp;그림책을..."
40,http://www.ytn.co.kr/,"[자막뉴스] 최민정 측 "" 승부조작 넘어 범죄""...심석희, 연금도 박탈되나",,"평창올림픽 1천m 결승에서 '문제의 충돌'이 일어난 뒤, 최민정은 절뚝거리며 말없이 퇴장했고 심석희는 사고였다고 말했습니다. 이튿날 결산 기자회견에서는 여자 쇼트트랙 투톱인 둘의 불화설이 공식 질문으로 나왔는데..."
41,http://www.imaeil.com/,[포토뉴스] 군위군 대구 편입 찬반투표하는 의원들,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=088&aid=0000725829,14일 경북도의회 본회의장에서 의원들이 군위군 대구 편입에 관한 찬반 투표를 하고 있다. 이날 경북도의회는 '경상북도 관할구역 변경(안)에 대한 의견제시의 건'에 대해 찬반투표를 진행해 재적의원 59명 중 찬성...
42,http://www.ytn.co.kr/,"[자막뉴스] ""3개월 전..."" 빙상연맹, 심석희 '고의 충돌' 알고도 뭉갠 정황",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001652000,"'여차하면 여자 브래드버리 만들어야지'. 쇼트트랙 심석희 선수는 평창올림픽 기간 '고의 충돌'을 예고하는 듯한 대화를 수차례 조항민 당시 코치와 주고받았습니다. 우여곡절 끝에 3천m 계주 금메달을 딴 뒤에는, 창피하다..."
43,http://news.kbs.co.kr/,"광주시, 가짜뉴스·허위사실 유포 구제 범위 확대",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011137324,광주시가 가짜<mark>뉴스</mark>와 허위사실 유포 등으로 피해를 입은 시민들에 대한 구제 범위를 확대합니다. 광주시는... 광주시는 지난해 3월 '의향광주법률지원단'을 출범시켜 가짜<mark>뉴스</mark>와 허위사실 유포로 피해를 입은 시민들에게...
44,https://www.yna.co.kr/,[연합뉴스 이 시각 헤드라인] - 16:00,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=001&aid=0012719701,"13일 연합<mark>뉴스</mark> 취재에 따르면 강씨는 지난달 추석 때 자신의 변호인에게 쓴 편지에서 ""사형 선고만이 유가족분들께 아주 조금이라도 진정 사죄드릴 수 있는 마지막 기회""라며 ""(나에 대한) 어떠한 변호도 하지..."
45,http://www.mbn.co.kr/,조주빈 징역 42년 확정 [김주하 AI 뉴스],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001614041,김주하 AI <mark>뉴스</mark>입니다. 조직적으로 미성년자 등 여성의 성 착취물을 만들어 텔레그램 대화방을 통해 유포한 조주빈에게 대법원이 징역 42년을 확정했습니다. 조 씨는 아동·청소년의 성보호에 관한 법률 위반과...
46,http://www.yonhapnewstv.co.kr/,[자막뉴스] 군위 초등생 수십명 벌 쏘임…교사 기지로 큰 피해 막아,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=422&aid=0000509044,"수십 명의 아이들이 무언가에 놀란 듯 몰려 내려옵니다. 잠시 한 자리에 모였던 아이들은 누가 쫓기라도 하듯 다시 화들짝 흩어지고, 길가로 줄달음치기도 합니다. 경북 군위의 한 초등학교에서 5~6학년 학생과 교사 등 90여..."
47,http://news1.kr/,"[뉴스1 PICK]국민의힘 “대장동 국감자료, 그리 숨길 게 많나”…경기도·성남시 항의방문",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005654672,국민의힘은 13일 '대장동 의혹'과 관련한 국정감사 자료 제출을 요구하며 경기도청과 성남시청을 항의 방문해 자료 제출을 거듭 촉구했다. 국회 정무위·행안위·국토위 소속 국민의힘 의원 13명은 이날 오전 경기도청...
48,http://news1.kr/,"김어준 ""내가 가짜뉴스 퍼뜨린다?…檢 '오세훈 생태탕집 갔었다' 판단""",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005656050,"박태훈 선임기자 = 방송인 김어준씨가 14일, 이래도 가짜<mark>뉴스</mark> 퍼뜨린다고 비난할 것이냐며 국민의힘과 오세훈 서울시장 들으라는 듯 큰소리쳤다. 김어준씨는 이날 자신이 진행하고 있는 TBS교통방송 '김어준의 <mark>뉴스</mark>공장..."
49,http://www.etnews.com/,[뉴스 줌인]중형 OLED 시장 '퀀텀점프'…애플 탑재가 관건,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=030&aid=0002975146,중형 유기발광다이오드(OLED) 시장의 성장은 삼성디스플레이뿐만 아니라 국내 디스플레이 업계에 상당한 의미가 있는 변화다. 우리나라가 주도하는 OLED 산업에 새로운 기회가 열리고 있다는 뜻이기 때문이다....
50,https://www.yna.co.kr/,[부고] 양귀남(인더뉴스 기자)씨 조모상,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012722016,"▲ 홍옥선씨 별세, 양창렬(GS건설 책임)씨 모친상, 김은미씨 시모상, 양귀남(인더<mark>뉴스</mark> 기자)씨 조모상 = 14일, 인천 가천대길병원 장례식장 302호실, 발인 16일 오전 6시 30분. ☎ 032-460-3444 (서울=연합<mark>뉴스</mark>)"
51,http://www.busan.com/,[포토뉴스] ‘무릉도원’ 산청 동의보감촌,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001122988,13일 산청군 동의보감촌 내 한방약초테마공원과 구절초 군락지에 방문객 발길이 이어지고 있다. 산청군 제공 13일 산청군 동의보감촌 한방약초테마공원과 구절초 군락지에 방문객 발길이 이어지고 있다. 산청군 제공...
52,http://www.fnnews.com/,개막사하는 전선익 파이낸셜뉴스 사장,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004723235,제14회 국제보험산업심포지엄이 파이낸셜<mark>뉴스</mark>와 보험연구원 공동 주최로 14일 서울 소공로 웨스틴조선호텔에서 열렸다. 전선익 파이낸셜<mark>뉴스</mark> 사장이 개막사를 하고 있다. 사진=김범석 기자
53,http://ch1.tbroad.com/,[B tv 한빛뉴스]단독주택도 투명 페트병 분리배출,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=214&aid=0001153775,투명 페트병 분리배출 시범사업 결과를 분석해서 배출 방법과 수거 방식 등을 구체화할 계획입니다. B tv<mark>뉴스</mark> 이제문입니다. 영상취재: 김동휘 기자 #투명페트병 #분리배출 #자원순환 #SK브로드밴드 #한빛방송 #Btv<mark>뉴스</mark> #
54,http://imnews.imbc.com/,오늘의 뉴스테마,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003627625,"10월 14일 목요일 2시 <mark>뉴스</mark> 외전 시작합니다. 먼저 오늘의 <mark>뉴스</mark> 테마입니다. 대장동 의혹의 핵심, 김만배 씨의 구속 여부가 이르면 오늘 결정됩니다. 구속영장 심사를 받으러 나온 김만배 씨는 모든 혐의를 부인했고 이재명..."
55,http://www.segye.com/,‘무면허 운전·경찰 폭행’ 장용준 구속됐지만… 음주운전 혐의 빠져 특혜 논란 계속 [뉴스+],https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=104&oid=052&aid=0001652262,"SBS '8<mark>뉴스</mark>' 캡처 경찰은 지난달 30일 장씨를 피의자로 불러 조사했고 이튿날인 1일 음주 측정 거부, 공무집행방해, 무면허 운전, 도로교통법상 재물손괴 및 상해 등 5개 혐의로 구속영장을 신청했다. 검찰은 지난 7일 장씨..."
56,http://www.ytn.co.kr/,"[자막뉴스] ""백신 맞은 외국인에게는..."" 미국의 결정",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=469&aid=0000634702,코로나19 이후에도 항공편으로 미국에 가는 건 어렵지 않았습니다. 그러나 육로와 바닷길은 사실상 막혀 있었습니다. 공항과 달리 검역이 쉽지 않기 때문입니다. 다음 달 초부터는 미국 국경이 다시 활짝 열립니다. 물론...
57,http://ch1.tbroad.com/,"[B tv 서울뉴스] 도봉구, 은행열매 수거 종합대책 가동",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=001&aid=0012718738,도봉구가 가을철 악취의 주범인 은행 열매를 없애기 위해 '은행 열매 진동 수확기'를 도입하고 지역 내 45곳에 수거 장치를 설치했습니다. 이에 따라 도봉구는 기존 작업자가 사다리차를 이용해 은행 열매를 장대로...
58,http://www.hankookilbo.com/,"[클릭! 자치뉴스] 관악구, 전동휠체어 전용 연습장 설치 추진 外",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=214&aid=0001153535,"관악구, '전동휠체어 전용 연습장' 설치 추진 서울 관악구(구청장 박준희)가 전국 지방자치단체 중 최초로 전동휠체어 전용 운전연습장을 마련하기로 했다고 13일 밝혔다. 이동약자의 안전사고 예방과 운전능력 향상을..."
59,https://www.yna.co.kr/,[연합뉴스 이 시각 헤드라인] - 12:00,,"■ 백신 접종 속도 빨라져…'단계적 일상회복' 일정 앞당겨질 듯 정부가 내달 초 '단계적 일상회복'으로의 방역 체계 전환을 예고한 가운데, 국내 신종 코로나바이러스 감염증(코로나19) 백신 접종 속도가..."
60,http://imnews.imbc.com/,오늘의 뉴스테마,,검찰이 대장동 의혹의 핵심 인물 김만배 씨에 대해 구속영장을 청구했습니다. 또 다른 핵심 인물 남욱 변호사는 곧 귀국해 검찰 조사에 응하겠다고 밝혔습니다. ================== 민주당이 국민의힘 토건비리 진상조사...
61,http://www.joseilbo.com/,[대선주자 여론조사]  [오마이뉴스] 野후보 적합도 尹30.3%-洪25.5%-劉12.5%’,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=123&aid=0002256893,보수 야권 대선후보 적합도 조사에서 윤석열 국민의힘 대선 경선후보가 홍준표 후보에 다소 앞선다는 여론조사 결과가 14일 나왔다. 의뢰로 여론조사전문기관 &lt;리얼미터&gt;가 10월 2주차(11~12일)에 실시한...
